,area,mean,major_axis,minor_axis
0,87.0,99.816091954023,11.63325243073309,9.821580724292765
1,180.0,106.31666666666666,18.638072360978278,13.004596980204921
2,210.0,122.91904761904762,20.761263905667864,13.502751477252565
3,207.0,98.14492753623189,24.796143167521613,10.870225818671749
4,160.0,105.29375,17.12098123427309,11.893123079144045
5,152.0,87.14473684210526,20.806455244149973,9.490592029514861
6,335.0,87.57611940298507,25.898753403164875,17.738685439254642
7,203.0,106.63054187192118,19.519239319208705,13.242916802200659
8,136.0,89.52941176470588,17.14052450456879,10.109093391063595
9,144.0,86.0,14.870053764851995,12.409251618118196
10,311.0,101.44051446945338,29.881640068719843,13.360395400240352
11,133.0,78.09774436090225,14.82225477190576,11.503071887509368
12,227.0,106.83259911894272,20.919112742599477,13.891520959924565
13,91.0,74.0,12.509075423705474,9.258711165305371
14,254.0,115.71259842519684,19.958545563427837,16.226443796304025
15,316.0,107.10443037974683,34.368373576881496,11.781313818877974
16,125.0,89.112,14.990345760824761,10.62901980292271
17,151.0,96.01324503311258,15.908431621675744,12.096356048542168
18,137.0,101.21167883211679,15.89607265190247,11.109193802518075
19,281.0,101.8220640569395,25.585881765957026,14.3247821548242
20,209.0,127.39234449760765,19.67619801401001,13.517311186469966
21,122.0,91.3360655737705,16.20510619960052,9.823394263161294
22,280.0,135.75714285714287,23.604444571526233,15.301880387995503
23,168.0,93.29166666666667,19.59457205464448,10.931243680340025
24,188.0,112.00531914893617,20.418119224249317,11.800587716288458
25,160.0,83.60625,17.117344068301694,12.004203724003387
26,241.0,111.44813278008299,26.010457573534367,11.944343275847064
27,157.0,95.02547770700637,14.830964228594643,13.550158027743464
28,281.0,114.30249110320284,28.144218912241225,12.943482796405037
29,147.0,83.5578231292517,20.173971848859328,9.40889778863582
30,236.0,116.62288135593221,18.220129071339187,16.513221284898766
31,236.0,111.41101694915254,24.33892665357204,12.36317887972974
32,260.0,117.61923076923077,24.215181486523115,13.726875673373858
33,140.0,97.31428571428572,16.309864635296567,10.928139546402642
34,165.0,91.96363636363637,16.84303101390774,12.54530015722914
35,241.0,112.33195020746888,21.34543348837491,14.422764618489975
36,152.0,81.67105263157895,19.15369616583111,10.20293644529329
37,168.0,127.45833333333333,18.55833062623203,11.667489639199896
38,206.0,94.65533980582525,21.97966419028621,11.938338321975987
39,149.0,96.47651006711409,18.148173552147338,10.560190871054315
40,160.0,109.99375,14.69625817644925,13.89946026330334
41,165.0,77.73333333333333,16.494341828518195,12.745735988920964
42,291.0,100.53951890034364,27.03641951148739,13.822413316818714
43,148.0,93.22972972972973,14.937003300188136,12.775519912529694
44,253.0,118.28853754940711,24.36357579703177,13.363423539318548
45,143.0,85.23076923076923,16.110193816209403,11.29875266084881
46,241.0,118.59336099585062,20.96918208423244,14.654178398347756
47,230.0,76.47826086956522,21.043852433317795,14.088115179842553
48,565.0,115.59115044247788,37.77024079749117,20.675066775572983
49,315.0,108.86984126984127,25.58218766775953,15.740079797294806
50,187.0,89.31550802139037,20.86898685351231,11.538269992464958
51,143.0,76.23076923076923,17.98545841798091,10.180301953041331
52,206.0,108.2378640776699,18.89378141549574,13.947886787362531
53,112.0,90.41964285714286,16.301967718953456,9.04014185821938
54,248.0,94.66935483870968,22.88579015579718,13.833077476179566
55,171.0,103.12280701754386,17.409480123189333,12.519364794056871
56,228.0,113.89473684210526,18.970451177230977,15.327705016521833
57,384.0,140.8125,24.841708374996767,19.823595031600423
58,257.0,117.23735408560312,23.20530618458098,14.172872087458247
59,131.0,82.06870229007633,16.84756371312622,9.927817225352827
60,244.0,120.34016393442623,24.0102896805248,13.051505134891295
61,151.0,86.01324503311258,15.526808972753166,12.402313260542133
62,111.0,86.68468468468468,15.140685363067277,9.962031675864145
63,287.0,90.41114982578397,24.587340225091776,14.920810684688025
64,320.0,112.871875,22.963142704513942,17.993962067374937
65,182.0,106.92307692307692,18.422982489241832,12.602534730761324
66,192.0,93.984375,19.134758489825153,12.910949413512796
67,304.0,84.21052631578948,32.672315841561854,13.631135909816372
68,373.0,125.343163538874,23.70597745997608,20.158374899921057
69,220.0,105.38636363636364,18.396653434447924,15.405134979451807
70,231.0,83.7012987012987,25.591322143102673,11.556609002934888
71,184.0,84.32065217391305,18.05001757969431,13.080103780174545
72,129.0,79.66666666666667,17.596622595495845,9.455477030671677
73,502.0,110.84262948207171,27.89987657620712,23.04403047466468
74,243.0,112.5679012345679,20.89198829234546,14.831093823985139
75,200.0,91.1,24.048589764048767,10.89804250131595
76,304.0,116.52960526315789,23.723063316101705,16.533171755149436
77,195.0,110.33846153846154,18.939569585999294,13.106355079743365
78,188.0,77.90957446808511,23.155045952914115,10.360086768288056
79,194.0,96.39690721649484,18.258677945254025,13.614579810701654
80,456.0,96.9298245614035,32.454783748485625,19.405997837441795
81,198.0,89.16161616161617,22.9183910325708,11.057938895422554
